2961_13488_000000	subito ouço bater á porta da sala vou abrir era um anjinho de cinco annos entra sára disse sabina
2961_13488_000021	bastava considerar os effeitos salutares da opinião para concluir que ella é a obra superfina da flor dos homens a saber do maior numero
2961_13488_000022	capitulo cxxxviii a um critico meu caro critico algumas paginas atraz dizendo eu que tinha cincoenta annos accrescentei já se vae sentindo que o meu estylo não é tão lesto como nos primeiros dias
2961_13488_000023	como eu rejeitasse com horror esta opinião o alienista sorriu e disse-me uma cousa tão extraordinaria tão extraordinaria que não merece menos de um capitulo capitulo cliv os navios do pireu
2961_13488_000024	estira te nessa rede que me embalou a melhor parte dos annos que decorreram desde o inventario de meu pae até vem se te cheirar a algum aroma de toucador não cuides que o mandei derramar para meu regalo é um vestígio da n ou da z ou da u
2961_13488_000025	o luiz dutra era um primo de virgilia que tambem privava com as musas os versos delle agradavam e valiam mais do que os meus mas elle tinha necessidade da sancção de alguns que lhe confirmasse o applauso dos outros
2961_13488_000026	que aconteceu vacillo disse eu não sei se devo aceitar virgilia deixou-se cair no canapé a rir porque disse ella
2961_13488_000027	crê meu caro braz cubas que esta é a verdade eterna anterior aos mundos posterior aos seculos capitulo cxlvii o desatino
2961_13488_000028	disse isto no espaço de cinco minutos saíra do rio de janeiro por desaccordo com o regente que era um asno pouco menos asno do que os ministros que serviram com elle
2961_13488_000029	os annos iam caindo como as fileiras de cartas de jogar encurvadas com que eu brincava em pequeno e deixavam me ver a nossa casa a nossa familia as nossas festas
2961_13488_000030	era força que morresse assim trateada mordida pelo dente tenaz de uma doença sem misericordia confesso que tudo aquillo me pareceu obscuro incongruente insano
2961_13488_000031	deputados iam se me as esperanças todas terminava a carreira politica e notem que o quincas borba por inducções philosophicas que fez achou que a minha ambição não era a paixão verdadeira do poder mas um capricho um desejo de folgar
2961_13488_000032	era um despotismo temperado não por cantigas como dizem alhures mas por pennachos da guarda nacional só não pude alcançar se elle queria o despotismo de um de tres de trinta ou de tresentos
2961_13488_000033	como fosse acanhado não interrogava a ninguem mas deleitava-se com ouvir alguma palavra de apreço então criava novas forças e arremettia juvenilmente ao trabalho
2961_13488_000034	a mãe chegou a receber propostas de dinheiro interrompeu-se um instante e continuou logo minha filha fugiu me foi com um sujeito nem quero saber deixou-me só mas tão triste tão triste que pensei morrer não tinha ninguem mais no mundo e estava quasi velha e doente foi por esse
2961_13488_000035	jamais o problema da vida e da morte me opprimira o cerebro nunca até esse dia me debruçara sobre o abysmo do inexplicavel faltava-me o essencial que é o estimulo a vertigem
2961_13488_000036	começo a arrepender-me deste livro não que elle me cance eu não tenho que fazer e realmente expedir alguns magros capitulos para esse mundo sempre é tarefa que distráe um pouco da eternidade
2961_13488_000037	fiquei desconsolado com esta reflexão chamei me prodigo lancei o cruzado á conta das minhas dissipações antigas tive porque não direi tudo tive remorsos capitulo xxii volta ao rio
2961_13488_000038	triste capitulo passemos a outro mais alegre capitulo xxiv curto mas alegro fiquei prostrado e comtudo era eu nesse tempo um fiel compendio de trivialidade e presumpção
2961_13488_000039	e continuei a pensar que na verdade era feliz amava-me uma mulher tinha a confiança do marido ia por secretario de ambos e reconciliava me com os meus que podia desejar mais em vinte e quatro horas
2961_13488_000040	folhas miserrimas do meu cypreste heis de cair como quaesquer outras bellas e vistosas e se eu tivesse olhos dar vos hia uma lagrima de saudade
2961_13488_000041	um responso uma noticia biographica e estava fechado o livro da vida sem nenhuma pagina de sangue
2961_13488_000042	que todas essas lettras maiusculas embalaram ahi a sua elegante abjecção mas se além do aroma quizeres outra cousa fica-te com o desejo porque eu não guardei retratos nem cartas nem memorias
2961_13488_000043	tudo isso com tão boa sombra que o cotrim interpretou o gesto como de acquiescencia e agradeceu mo que é lá redargui não cedi cousa nenhuma nem cedo nem cede
2961_13488_000044	vez triste agora logo desesperada amanhã resignada mas sempre com as mãos no tacho e os olhos na costura até acabar um dia na lama ou no hospital foi para isso que te chamamos n'um momento de sympathia
2961_13488_000045	mas fazia-se tarde ia dizer que eu não faltaria ao jantar e lá me esperava para maior palestra levei o até á porta da sala elle parou dizendo que sympathisava muito commigo quando casára estava eu na europa conheceu meu pae um homem ás direitas com quem dansára n'um celebre baile da praia grande
2961_13488_000046	pelopidas uma donosa egua que lá morreu coberta de flores sem que ninguem lhe désse nunca uma palavra de saudade pois dou ta eu egua piedosa não só pela morte havida como porque entre as donzellas escapas não é impossivel que figurasse uma avó dos cubas
2961_13488_000047	padeceis a mania delles vós sabeis mui bem o valor desta palavra e adivinhaes portanto as delicias de meu bibliomano elle regeitaria a corôa das indias o papado todos os muzeus da italia e da hollanda se os houvesse de trocar por esse unico exemplar
2961_13488_000048	a unica objecção contra a palavra do quincas borba é que não me sentia doudo mas não tendo geralmente os doudos outro conceito de si mesmos tal objecção ficava sem valor
2961_13488_000049	não se irrite o leitor com esta confissão eu bem sei que para titillar lhe os nervos da fantasia devia padecer um grande desespero derramar algumas lagrimas e não almoçar seria romanesco mas não seria biographico
2961_13488_000050	que conheci a familia de yayá boa gente que me deu que fazer e até chegou a me dar casa estive lá muitos mezes um anno mais de um anno aggregada costurando saí quando yayá casou depois vivi como deus foi servido olhe os meus dedos olhe estas mãos
2961_13488_000051	setenta annos um sugeito magro amarello grisalho que não ama nenhuma outra cousa além dos livros inclina-se sobre a pagina anterior a ver se lhe descobre o desproposito lê relê treslê desengonça as palavras sacca uma syllaba depois
2961_13488_000052	é singularmente espantoso este meu systema rectifica o espirito humano supprime a dor assegura a felicidade e enche de immensa gloria o nosso paiz chamo-lhe humanitismo de humanitas principio das cousas
2961_13488_000053	se tivermos de escrever ella receberá as cartas agora até daqui a talvez dous annos qual elle diz que é só até fazer as eleições sim então até breve olhe que estão olhando para nós quem alli do sophá
2961_13488_000054	cincoenta annos é a edade da sciencia e do governo animo braz cubas não me sejas palerma que tens tu com essa successão de ruina a ruina ou de flor a flor trata de saborear a vida
2961_13488_000055	parece lhes que a podridão anonyma os alcança a elles mesmos capitulo clii a moeda do vespasiano
2961_13488_000056	jumento de uma figa cortaste me o fio ás reflexões já agora não digo o que pensei dalli até lisboa nem o que fiz em lisboa na peninsula e em outros logares da europa da velha europa que nesse tempo parecia remoçar
2961_13488_000057	e conclui com esta idéa o chorão que inclina os seus galhos para a terra é arvore de cemiterio a palmeira erecta e firme é arvore do deserto das praças e dos jardins
2961_13488_000058	capitulo lxxxii questão de botanica digam o que quizerem dizer os hypocondriacos a vida é uma cousa doce foi o que eu pensei commigo
2961_13488_000059	vária foi a impressão deste discurso quanto á forma ao rapto eloquente á parte litteraria e philosophica a opinião foi só uma disseram-me todos que era completo e que de uma barretina ninguem ainda conseguira tirar tantas idéas
2961_13488_000060	o pae morreu n'um dia treze dias depois de um jantar em que havia treze pessoas a casa em que morrera a mãe tinha o n et ctera era um algarismo fatidico não podia allegar semelhante cousa ao ministro dir lhe hia que tinha razões particulares para não aceitar
2961_13488_000061	custa-me muito mas é preciso adeus virgilia até breve adeus capitulo cxv o almoço
2961_13488_000062	as outras pessoas olhavam me com um ar de curiosidade indulgencia e sympathia era transparente que não acabavam de ouvir nenhuma novidade o caso dos meus amores andava mais publico do que eu podia suppor
2961_13488_000063	a ameaça do fim que o quincas borba achou mesquinha demonstrei lhe que era saturada do mais puro humanitismo e elle mesmo o confessou depois
2961_13488_000064	não gosto de perolas casmurro para quando é que você se guarda para quando estiver a cair de maduro já sei pois meu rico quer você queira quer não ha de casar com nhã lóló
2961_13488_000065	é pueril observou elle é ridiculo mas em summa é um motivo poderoso para mim e referiu lhe que o decreto trazia a data de e que esse numero significava para elle uma recordação funebre
2961_13488_000066	muito queimando os dedos ao fogão e os olhos ao candieiro para comer e não cair emmagreceu adoeceu perdeu a mãe enterrou a por subscripção e continuou a trabalhar a filha estava com quatorze annos mas era muito fraquinha e não fazia nada a não ser
2961_13488_000067	preço mortifica se naturalmente mas vae andando concentrado com os olhos para baixo ou para a frente a indagar as causas da prosperidade do outro e do seu proprio atrazo quando elle chapeleiro é muito melhor chapeleiro do que o outro chapeleiro
2961_13488_000068	dado mesmo que a minha idéa não fosse adoptada bastava-me tel-a iniciado no parlamento o quincas borba porém não fez restricção alguma não sou homem politico disse-me elle ao jantar não sei se andaste bem ou mal sei que fizeste um excellente discurso
2961_13488_000069	prosas elle respondia me a principio com animação depois mais frouxo torcia a redea da conversa para o seu assumpto delle abria um livro perguntava me se tinha algum trabalho novo
2961_13488_000070	a tristeza de um e de outro á proporção que o mar como uma toalha elastica se fosse dilatando entre nós e semelhantes ás crianças que se achegam ao regaço das mães para fugir a uma simples careta fugiamos do supposto perigo apertando nos com abraços
2961_13488_000071	uma vez porém aconteceu-me sorrir e continuei a fazel-o das outras vezes não sei se ha ahi algum hobbes ou spinoza que explique o phenomeno
2961_13488_000072	não vem nos seus diccionarios biographicos achou o volume por acaso no pardieiro de um alfarrabista comprou-o por duzentos réis indagou pesquizou esgaravatou e veiu a descobrir que era um exemplar unico unico vós que não só amaes os livros senão
2961_13488_000073	elle estava ancioso por voltar ao rio de janeiro já havia corrido a cidade toda com umas saudades palavra em alguns logares teve vontade de chorar mas não embarcaria mais
2961_13488_000074	como uma borboleta vadia ou faminta e as horas iam pingando uma a uma o sol cahia as sombras da noite velavam a montanha e a cidade ninguem me visitava recommendei expressamente que me deixassem só
2961_13488_000075	opprimiam no duas cousas a ambição que um escrupulo desazára e logo depois a duvida e talvez o arrependimento mas um arrependimento que viria outra vez si se repetisse a hypothese porque o fundo supersticioso existia
2961_13488_000076	maneiro accrescia que a barretina por seu peso abatia a cabeça dos cidadãos e a patria precisava de cidadãos cuja fronte pudesse levantar-se altiva e serena diante do poder
2961_13488_000077	não é conveniente dá muito na vista mas nós já não vamos como assim contou-me que o marido ia recusar a nomeação e por motivo que só disse a ella pedindo-lhe o maior segredo não podia confessal-o a ninguem mais
2961_13488_000078	e dizia isto levantando-se e cantarolando a meia voz no norte essas cousas chegavam como um echo a filha morria por ouvir todas as operas tinha uma voz muito mimosa a filha e gosto muito gosto ah
2961_13488_000079	renunciei tudo tinha o espirito attonito creio que por então é que começou a desabotoar em mim a hypocondria essa flor amarella solitaria e morbida de um cheiro inebriante e subtil
2961_13488_000080	lembra-me que estava retraindo mas de um retrahimento que forcejava por dissimular pareceu-me então e peço perdão á critica se este meu juizo fôr temerário pareceu-me que elle tinha medo não medo de mim nem de si nem do codigo nem da consciencia
2961_13488_000081	guardei o papel e tive uma sensação exquisita capitulo cxii a opinião mas estava escripto que esse dia devia ser o dos lances dubios
2961_13488_000082	no dia seguinte abro uma folha politica e leio a noticia de que por decretos de tínhamos sido nomeados presidente e secretario da provincia de o lobo neves e eu
2961_13488_000083	suppuz a principio que o embryão esse perfil do incognito projectando se na nossa aventura lhe restituira a consciência do mal e enganava me
2961_13488_000084	porque conversámos e valsámos a valsa é uma deliciosa cousa valsámos e não nego que ao conchegar ao meu corpo aquelle corpo flexivel e magnifico tive uma singular sensação uma sensação de homem roubado
2961_13488_000085	velhos do meu tempo lembrai vos desse mestre cosinheiro do hotel pharoux um sujeito que segundo dizia o dono da casa havia servido nos famosos véry e véfour de paris e mais nos palacios do conde molé e do duque de
2961_13488_000086	a herança veja nos agora o leitor oito dias depois da morte de meu pae minha irmã sentada n'um sophá pouco adiante o cotrim de pé encostado a um consolo com os braços cruzados e a morder o bigode eu a passeiar de um lado para outro com os olhos no chão
2961_13488_000087	impalpavel desvincula se da terra dissolve se etherisa se essa sublimação do ser pela ponta do nariz é o phenomeno mais excelso do espirito e a faculdade de a obter não pertence ao fakir sómente é universal
2961_13488_000088	uma creatura tão docil tão meiga tão santa que nunca jamais fizera verter uma lagrima de desgosto mãe carinhosa esposa immaculada
2961_13488_000089	mas recuei a tempo o amor-proprio o vexame da fuga a idéa do medo não havia remedio senão ir diga-lhe que vou aonde perguntou d placida onde ella disse que me espera não me disse nada neste papel
2961_13488_000090	voltei á carta reli a com pausa com attenção a restituição do relogio excluia toda a idéa de burla a lucidez a serenidade a convicção um pouco jactanciosa é certo pareciam excluir a suspeita de insensatez
2961_13488_000091	ás vezes caçava outras dormia outras lia lia muito outras emfim não fazia nada deixava-me atoar de idéa em idéa de imaginação em imaginação
2961_13488_000092	reagia a mocidade era preciso viver metti no bahú o problema da vida e da morte os hypocondriacos do poeta as camisas as meditações as gravatas
2961_13488_000093	tambem gostara muito da deperini na sapho ou na anna bolena não se lembrava bem mas a candiani sim senhor era papa fina agora queria ouvir o ernani que a filha delle cantava em casa ao piano ernani ernani
2961_13488_000094	o chapeleiro compara aquella loja com a sua que é mais antiga e tem só duas portas e aquelles chapeus com os seus menos buscados ainda que de egual preço
2961_13488_000095	para que a vissem de fóra e concluiu este seu criado tem a mania do atheniense crê que os navios são delle uma hora de illusão que lhe dá a maior felicidade da terra capitulo clv reflexão cordial
2961_13488_000096	naturalmente o quincas borba herdara de algum dos seus parentes de minas e a abastança devolvera lhe a primitiva dignidade não digo tanto ha cousas que se não podem rehaver integralmente mas emfim a regeneração não era impossivel
2961_13488_000097	verá meu caro braz cubas verá que é devéras um monumento e se alguma cousa ha que possa fazer-me esquecer as amarguras da vida é o gosto de haver emfim apanhado a verdade e a felicidade
2961_13488_000098	cede abanei a cabeça deixa cotrim disse minha irmã ao marido vê se elle quer ficar tambem com a nossa roupa do corpo é só o que falta não falta mais nada quer a sege quer o boleeiro quer a prata quer tudo
2961_13488_000099	e este livro e o meu estylo são como os ebrios guinam á direita e á esquerda andam e param resmungam urram gargalham ameaçam o ceu escorregam e cáem e cáem
2961_13488_000100	tinham ido todos só o meu carro esperava pelo dono accendi um charuto afastei-me do cemiterio não podia sacudir dos olhos a ceremonia do enterro nem dos ouvidos os soluços de virgilia
2961_13488_000101	velha velha exclamou sabina levantando as mãos ao tecto parece-lhe nova aposto ora mano deixe-se dessas cousas disse sabina erguendo-se do sophá
2961_13488_000102	sim palavra tanto melhor respirou sabina é tempo de acabar com isto achei-a mais gorda e talvez mais moça parecia ter vinte annos e contava mais de trinta graciosa affavel nenhum acanhamento nenhum resentimento
2961_13488_000103	com isto iam-se passando os annos não a belleza porque não a tivera nunca appareceram lhe alguns namoros propostas seducções a que resistia se eu pudesse encontrar outro marido disse-me ella creia que me teria casado mas ninguem queria casar commigo um dos pretendentes
2961_13488_000104	ha cousas que melhor se dizem calando tal é a materia do capitulo anterior podem entendel o os ambiciosos mallogrados
2961_13488_000105	acudiu atempo de lhe pegar na redea e detel o não sem esforço nem perigo dominado o bruto desvencilhei me do estribo e puz-me de pé olhe do que vosmecê escapou disse o almocreve
2961_13488_000106	um monologo paternal valha-me deus até ouvi estalar um beijo era o almocreve que lhe beijava a testa olé exclamei queira vosmecê perdoar mas o diabo do bicho está a olhar para a gente com tanta graça
2961_13488_000107	que voulez vous monseigneur como dizia figaro c'est la misre muitas cousas se deram depois do nosso encontro irei contal as pelo miudo se me não fechar a porta saiba que já não trago aquellas botas caducas nem envergo uma famosa sobrecasaca cujas abas se perdiam na noite dos tempos
2961_13488_000108	emfim que a opinião se occupasse um pouco com outras aventuras o filho crescendo buscaria satisfazer as ambições do pae
2961_13488_000109	saí afastando me dos grupos e fingindo ler os epitaphios e aliás gosto dos epitaphios elles são entre a gente civilisada
2961_13488_000110	de facto era um dos meus criados que batia os tapetes emquanto nós falavamos no jardim ao lado o alienista notou então que elle escancarára as janellas todas desde longo tempo que alçára as cortinas que devassára o mais possivel a sala ricamente alfaiada
2961_13488_000111	mas a parte politica foi considerada por muitos deploravel alguns achavam o meu discurso um desastre parlamentar emfim vieram dizer-me que outros me davam já em opposição
2961_13488_000112	fiz commigo essa reflexão e acabei de fechar o bahú nhonhô não vae visitar sinhá d eusebia perguntou-me o prudencio foi ella quem vestiu o corpo da minha defunta senhora lembrei-me que a vira entre outras senhoras por occasião da morte e do enterro
2961_13488_000113	o portador era casado com uma irmã do cotrim chegára poucos dias antes do norte chamava-se damasceno e fizera a revolução de foi
2961_13488_000114	ouvia o que se dizia a meu respeito nas ruas e nas salas era um concerto de louvores e admirações e deixa-se isso para ir passar alguns mezes na provincia sem necessidade sem motivo serio a menos que não fosse politica justamente política disse eu
2961_13488_000115	tambem o senhor perguntei-lhe tambem eu tambem eu tambem o senhor e o seu criado não menos se é seu criado esse homem que alli está sacudindo os tapetes á janella
2961_13488_000116	papel d placida arregalou os olhos mas esse papel achei-o hoje de manhã nesta sua gaveta e pensei que tive uma sensação exquisita reli o papel mirei o
2961_13488_000117	mostrou-me as mãos grossas e gretadas as pontas dos dedos picadas da agulha não se cria isto á toa meu senhor deus sabe como é que isto se cria felizmente yayá me protegeu e o senhor doutor tambem eu tinha um medo de acabar na rua pedindo esmola ao soltar
2961_13488_000118	duvidava da superstição sem chegar a rejeital a essa persistencia de um sentimento que repugna ao mesmo individuo era um phenomeno digno de alguma attenção
2961_13488_000119	tu és o meu discipulo amado o meu califa bradou o quincas borba com uma nota de ternura que até então lhe não ouvira posso dizer como o grande muhammed nem que venham agora contra mim o sol e a lua não recuarei das minhas idéas
2961_13488_000120	era na verdade um antigo bilhete de virgilia recebido no começo dos nossos amores uma certa entrevista na chacara que me levou effectivamente a saltar o muro um muro baixo e discreto
2961_13488_000121	não chorei lembra-me que não chorei durante o expectaculo tinha os olhos estupidos a garganta presa a consciência boquiaberta que
2961_13488_000122	ao cabo de alguns annos de peregrinação attendi ás supplicas de meu pae vem dizia elle na ultima carta se não vieres depressa acharás tua mãe morta
2961_13488_000123	cahi em mim mas não confessei a illusão disse-lhe que a minha pergunta era um genero de charada americana elle mostrou comprehender e accrescentou que gostava muito das charadas americanas era um locandeiro
2961_13488_000124	mas esse philosopho com o elevado tino de que dispunha bradou me que eu ia escorregando na ladeira fatal da melancolia meu caro braz cubas
2961_13488_000125	natura capítulo cliii o alienista começo a ficar pathetico e prefiro dormir dormi sonhei que era nababo e acordei com a idéa de ser nababo
2961_13488_000126	e era verdade se o jumento corre por alli fóra contundia me devéras e não sei se a morte não estaria no fim do desastre cabeça partida uma congestão qualquer transtorno cá dentro e lá se me ia a bacharelice em flor
2961_13488_000127	cada homem tem necessidade e poder de contemplar o seu proprio nariz para o fim de ver a luz celeste e tal contemplação cujo effeito é a subordinação do universo a um nariz sómente constitue o equilibrio das sociedades
2961_13488_000128	na vida o olhar da opinião o contraste dos interesses a luta das cobiças obrigam a gente a calar os trapos velhos a disfarçar os rasgões e os remendos a não estender ao mundo as revelações que faz á consciência
2961_13488_000129	nesse instante é que os olhos se fixam na ponta do nariz a conclusão portanto é que ha duas forças capitaes o amor que multiplica a especie e o nariz que a subordina ao individuo procreação equilibrio
2961_13488_000130	nada menos que uma renascença o espirito como um passaro não se lhe deu da corrente dos annos arrepiou o vôo na direcção da fonte original e foi beber da agua fresca e pura ainda não mesclada do enxurro da vida
2961_13488_000131	era a primeira vez que eu via morrer alguem conhecia a morte de outiva quando muito tinha-a visto já petrificada no rosto de algum cadaver que acompanhei ao cemiterio
2961_13488_000132	cedi o meu degrau da escada de s francisco finalmente almóço dito isto peço licença para ir um dia destes expor lhe um trabalho fructo de longo estudo
2961_13488_000133	bem fico com o paulo e o prudencio o prudencio está livre livre ha dois annos livre como seu pae arranjava estas cousas cá por casa sem dar parte a ninguem está direito quanto á prata creio que não libertou a prata
2961_13488_000134	reparando bem ha ahi um logar commum outro logar commum tristemente commum foi a consternação da familia meu pae abraçou-me com lagrimas
2961_13488_000135	que bom que é estar triste e não dizer cousa nenhuma quando esta palavra de shakespeare me chamou a attenção confesso que senti em mim um echo um echo delicioso
2961_13488_000136	fiz um gesto de desagrado a carta pareceu-me descommunalmente audaciosa mal pensada e até ridicula
2961_13488_000137	no dia seguinte estando na rua do ouvidor á porta da typographia do plancher vi assomar a distancia uma mulher esplendida
2961_13488_000138	e eu falava-lhe de mil cousas differentes do ultimo baile do cattete da discussão das camaras de berlindas e cavallos de tudo menos dos seus versos ou prosas
2961_13488_000139	depois tomou o assumpto á sua conta e impugnou a barretina com tal força com tamanha lucidez que acabou convencendo me effectivamente do seu perigo
2961_13488_000140	olhei para o papel um pedaço de papel amarrotado mas inflexivel tive comichões de o rasgar em trinta mil pedaços e atiral os ao vento como o ultimo despojo da minha aventura
2961_13488_000141	está dito dou-lhe as tres moedas prompto disse elle apresentando me a redea da cavalgadura daqui a nada respondi deixa-me que ainda não estou em mim ora qual pois não é certo que ia morrendo
2961_13488_000142	folhas tinham-me dado razão os acontecimentos ainda porém que m'a não dessem lá ia longe e com elle a travessura e o villaça e o beijo da moita finalmente nenhumas relações estreitas existiam entre mim e ella
2961_13488_000143	que supplicio que foi o jantar felizmente sabina fez-me sentar ao pé da filha do damasceno uma d eulalia ou mais familiarmente nhã lóló moça bem graciosa um tanto acanhada a principio mas só a principio
2961_13488_000144	ve se nas menores cousas o que vale a autoridade de um grande philosopho as palavras do quincas borba tiveram o condão de sacudir o torpor moral e mental em que andava vamos lá façamo nos governo
2961_13488_000145	mas o tempo e é outro ponto em que eu espero a indulgencia dos homens pensadores o tempo calleja a sensibilidade e oblitera a memoria das cousas
2961_13488_000146	poucas horas depois encontrava me eu com o lobo neves na rua do ouvidor e falavamos da presidencia e da politica elle aproveitou o primeiro conhecido que nos passou á ilharga e deixou-me depois de muitos comprimentos
2961_13488_000147	porque emfim elle não levou em mira nenhuma recompensa ou virtude cedeu a um impulso natural ao temperamento aos habitos do officio
2961_13488_000148	se os narizes se contemplassem exclusivamente uns aos outros o genero humano não chegaria a durar dois séculos extinguia se com as primeiras tribos
2961_13488_000149	pobre luiz dutra apenas publicava alguma cousa corria á minha casa e entrava a girar em volta de mim á espreita de um juizo de uma palavra de um gesto que lhe approvasse a recente producção
2961_13488_000150	capitulos compridos quadram melhor a leitores pesadões e nós não somos um publico in folio mas in pouco texto larga margem typo elegante corte dourado e vinhetas principalmente vinhetas não não alonguemos o capitulo
2961_13488_000151	isto somente esta unica resposta que valia para ella o livro dos sete sellos faz mal disseram-lhe isso em criança sem outra explicação e ella contentava-se com a certeza do mal
2961_13488_000152	fixamente fixamente até molharem se lhe os olhos de tão fixo que era virgilia acariciou a muito eu deixei lhe uma pratinha na algibeira do vestido capitulo lxxiv historia de d placida não te arrependas de ser generoso
2961_13488_000153	nhonhô talvez não se lembre mais de d eusebia lembra-me é ella ella e a filha vieram hontem de manhã occorreu me logo o episodio de e senti-me vexado mas adverti que os acontecimentos tinham-me dado razão
2961_13488_000154	talvez espante ao leitor a franqueza com que lhe exponho e realço a minha mediocridade advirta que a franqueza é a primeira virtude de um defunto
2961_13488_000155	depois porquanto o humanitismo não excluia nada as guerras de napoleão e uma contenda de cabras eram segundo a nossa doutrina a mesma sublimidade com a differença que os soldados de napoleão sabiam que morriam cousa que apparentemente não acontece ás cabras
2961_13488_000156	e durante esse tempo cogitei se não era excessiva a gratificação se não bastavam duas moedas talvez uma com effeito uma moeda era bastante para lhe dar estremeções de alegria
2961_13488_000157	ou trazia-lhe a idéa embrulhada nas amplificações de rhetorica dos professores de cousas antigas a morte aleivosa de cesar a austera de socrates a orgulhosa de catão
2961_13488_000158	ver sabina o marido e a filha descerem de tropel as escadas dizendo muitas palavras affectuosas para cima onde eu ficava no patamar a dizer-lhes outras tantas para baixo
2961_13488_000159	a dor suspendeu por um pouco as tenazes um sorriso allumiou o rosto da enferma sobre o qual a morte batia a aza eterna era menos um rosto do que uma caveira a belleza passára como um dia brilhante restavam os ossos que não emmagrecem nunca
2961_13488_000160	era insigne entrou no rio de janeiro com a polka a polka mr pruddon o tivoli o baile dos estrangeiros o casino
2961_13488_000161	ora bem ha em todos nós um maniaco de athenas e quem jurar que não possuiu alguma vez mentalmente dous ou tres patachos pelo menos póde crer que jura falso
2961_13488_000162	era ella só a reconheci a poucos passos tão outra estava a tal ponto a natureza e a arte lhe haviam dado o ultimo apuro cortejámo nos ella seguiu entrou com o marido na carruagem que os esperava um pouco acima eu fiquei attonito
2961_13488_000163	que mal podia encobrir a tristeza profunda que o minava falava pouco absorvia se mettia se em casa a ler outras vezes recebia e então conversava e ria muito com estrepito e affectação
