4367_3648_000000	os outros então são muitos mais de um é com certeza já vi dois um rapaz alto louro rosado elegante
4367_3648_000072	o dr marcolino apeou-se entrou na palhoça examinou o enfermo auscultou o martelou lhe o corpo inteiro com o nó do dedo grande e explicou a moléstia com palavras difíceis que aquela pobre gente não entendeu
4367_3648_000073	guarda-livros cobriu o rosto com a notícia e fingindo que estava lendo murmurou preciso muito falar-lhe
4367_3648_000074	foi-se o médico e daí a dois dias voltou ao trote do seu jumento quem o recebeu foi o marido que é isto já de pé sim senhor estou completamente bom não tenho mais nada e não sei como agradecer
4367_3648_000075	do paulino que mora ali defronte a ele nunca o vi mas tenho visto os amantes da mulher os amantes da mulher sim coitado é ele a sair de casa e os outros a entrar
4367_3648_000076	reunira naquele sobrado quatro comprovincíanos seus de um comportamento irrepreensível e todos filhos de gente abastada para que nada faltasse em casa nem houvesse credores à porta
4367_3648_000077	quando ele se espichou na cama estreita de solteirão e abriu o livro que o esperava todas as noites sobre o velador não conseguiu ler uma página todo o seu passado lhe afluía à memória
4367_3648_000078	tendo feito conhecimento com um rico industrial teuto brasileiro ex colono de blumenau foi com este para o interior da província e como era inteligente e trabalhador
4367_3648_000079	o velho flores pai do rapaz informado por sua mulher do que se passara e receoso de que o filho impulsivo por natureza praticasse algum desatino resolveu mandá-lo para o rio de janeiro onde ele chegou meses antes do casamento de ritínha
4367_3648_000080	o amanuense começou a meter os pés pelas mãos errando os trabalhos mais insignificantes que lhe confiavam tornando-se incapaz até de extrair uma simples cópia
4367_3648_000081	conselheiro homem enfatuado e rebarbativo estava sentado à secretária com as barbas metidas numa papelada que o absorvia
4367_3648_000082	em vez de me livrar da adelaide como aconselhava o vespasiano livrá la ei de mim ora está dito seremos ambos assim mais felizes
4367_3648_000083	um vinagre que não lhe dá tudo quanto ela precisa pelo que é obrigada a recorrer à minha bolsa e à minha que mulher que desavergonhada
4367_3648_000084	e o sr paulino caiu desalentado numa cadeira tudo lhe andava à roda sentia as faces em fogo receou uma congestão cerebral a mulher notou que ele estava incomodado e foi buscar água da colônia que o reanimou
4367_3648_000085	o austero estudante ergueu a cabeça e berrou enquanto as lágrimas lhe deslizavam pelo rosto abaixo o octogenário sou eu
4367_3648_000086	justo ande desassombradamente por toda a parte não receie uma vingança que seria absurda e se algum dia eu lhe puder servir para alguma coisa disponha de mim não sou nenhum ingrato
4367_3648_000087	depois de castigado o vício e premiada a virtude o chagas acompanhou a certa distância o casal até o largo de são francisco e apesar de tímido teve a coragem de sentar ao lado da senhora
4367_3648_000088	obrigado mas olha recomendo-te que mandes copiar o artigo porque no jornal pode haver alguém que conheça a minha letra copiá lo ei eu mesmo adeus adeus se o caldas treplicar aparece-me está dito
4367_3648_000089	leste o jornal do comércio de hoje não mentiu prontamente o romualdo raramente leio o jornal do comércio aqui o tens vê que descompostura me passou o caldas o romualdo fingiu que leu
4367_3648_000090	poucos dias depois estava o chagas sentado à sua mesa de amanuense copiando pela terceira vez um aviso quando se aproximou dele um contínuo e lhe disse
4367_3648_000091	ficou horrorizado mas era tarde gostava dela e não teve forças para fugir-lhe as entrevistas amiudaram-se quando bárbara não ia ter pessoalmente com o fulgêncio escrevia-lhe cartas inflamadas e nenhuma ficava sem resposta
4367_3648_000092	o romualdo que há muito tempo não pegava numa nota de cinco mil-réis e apanhara na véspera uma descompostura de lavadeira cedeu afinal às tentadoras instâncias do amigo e no próprio escritório deste
4367_3648_000093	estás zangado comigo não então dize não estou zangado e amo-te isso não posso depois explicarei por quê
4367_3648_000094	no íntimo o romualdo estava satisfeito por ver naquele segundo artigo um meio de atenuar ou se quiserem de equilibrar o seu remorso
4367_3648_000095	não podia haver dúvida era ela o olhar tinha ainda coisa do olhar de outrora com aqueles destroços ele foi reconstituindo mentalmente peça por peça a estátua antiga tinha a visão exata do passado representava-se uma comédia
4367_3648_000096	dois médicos desenganaram no jamais a tuberculose aniquilara com tanta rapidez um homem de quarenta anos as hemoptises eram freqüentes esperava-se que de um momento para outro o enfermo sucumbisse afogado em sangue
4367_3648_000097	quando entraste por aquela porta estava eu a matutar sem saber a quem me dirigisse para prestar-me o serviço que te vou pedir confesso que não me tinha lembrado de ti perdoa estou às tuas ordens
4367_3648_000098	ainda naquele momento sua mãe que há tantos anos estava morta parecia falar-lhe parecia dizer-lhe não te dizia eu e que impressão receberia ritinha se me visse pensou ele também eu sou uma ruína
4367_3648_000099	ele só tinha um amigo um amigo íntimo seu companheiro de infância o vespasiano que um dia lhe disse com toda a brutalidade
4367_3648_000100	isso não é conselho que se dê a um amigo nem eu tenho razões para me separar de adelaide pois não te parece razão suficiente essa eterna humilhação a que ela te condena pois sim mas quem me manda ser tão caipora
4367_3648_000101	o romualdo cedeu a este último argumento e depois de convenientemente instruído pelo saraiva sobre a resposta que devia dar pegou na pena e escreveu ali mesmo o artigo
4367_3648_000102	bela pediu se uma entrevista e escusado é dizer que ela não opôs a esse pedido a menor resistência exigiu apenas depois do primeiro encontro que os outros se efetuassem longe do bairro
4367_3648_000103	ao ver o seu nome impresso nos jornais entre os das vítimas atravessou-lhe o espírito a idéia de calar-se fazendo-se passar por morto não sei se ele teria lido o jacques amour de zola ou a viuvinha do nosso alencar
4367_3648_000104	não sei doutor ele bebeu todo o remédio quem o galo sim senhor todas as vezes que ele cantava eu segundo a recomendação do doutor abria-lhe o bico e derramava lhe uma colher da droga pela goela abaixo
4367_3648_000105	a roceira agradeceu a providência que lhe enviava o doutor e pediu a este que examinasse o doente e o pusesse bom o mais baratinho que lhe fosse possível
4367_3648_000106	de nada valeram os conselhos paternos daí por diante redobrou o seu entusiasmo pelo moço e um mês depois quando o pai se preparava para impingir-lhe novo sermão
4367_3648_000107	tenha juízo senhora bradou o ministro com a sua bela voz parlamentar e desligou o aparelho sem suspeitar que ao mesmo tempo desligava dois amantes
4367_3648_000108	algumas vezes clorinda faltava à entrevista porque uma circunstância qualquer a impedia de sair de casa nessas ocasiões o chagas passava por tormentos incríveis
4367_3648_000109	a moça ressentiu se dessa falta de escrúpulos mas disfarçou o seu sentimento e disse meu pai faça o que entender
4367_3648_000110	era empresa que lhe poderia deixar um par de contos de réis se fosse bem sucedida instigado pela mulher a quem sorria a perspectiva de alguns vestidos novos paulino partiu para o rio grande a bordo do rio apa
4367_3648_000111	o seu primeiro cuidado foi passar pela casinha de porta e janela onde morava na rua do alcântara quando embarcou para o sul não a encontrou tinham erguido um prédio no local outrora ocupado pelo ninho dos seus amores sem ventura
4367_3648_000112	o fulgêncio que não tinha sangue de herói viveu dali por diante em transes terríveis saía de casa o menos possível e nas ruas só andava de tilburi recomendando aos cocheiros que fossem depressa
4367_3648_000113	naquela noite o flores quase qüinquagenário chefe de repartição lembrava-se das palavras maternas e reconhecia quanta verdade
4367_3648_000114	no calor da inopinada revelação cortada pelas gargalhadas sonoras de dois dos companheiros não repararam os rapazes que o gaspar chorava convulsivamente escondendo o rosto entre as mãos
4367_3648_000115	e batendo com as costas da mão no jornal isto não é dele aquilo é incapaz de traçar duas linhas sem quatro asneiras mas ainda assim quem escreveu por ele está longe deter o teu estilo a tua graça anda escreve
4367_3648_000116	vocês não têm filhos portanto não há consideração nenhuma que te obrigue a aturar um diabo de mulher que todos os dias te lança em rosto a tua pobreza como se ela te houvesse trazido algum dinheiro e o esbanjasses
4367_3648_000117	e o chagas esperava-a com a portinhola entreaberta um dia clorinda deu-lhe uma notícia desagradável o marido tinha mandado colocar em casa um aparelho telefónico
4367_3648_000118	suicidar-se premeditou e preparou a cena comprou um revólver carregou o com seis balas e marcou para o dia seguinte a perpetração do atentado deitou-se e naturalmente passou toda a noite em claro
4367_3648_000119	ainda nada ó maciel perguntava de vez em quando ao cocheiro sempre o mesmo que os servia naquelas arriscadas aventuras
4367_3648_000120	lembrei-me de coisa melhor caso me com gilberta e doto a com cem contos de réis isto é o quanto possuo mas com as devidas cautelas jurídicas para que este dote fique bem seguro seja inalienável tu bem me entendes
4367_3648_000121	o pobre rapaz encontrou uma noite na exposição a mulher mais bela e mais fascinante que os seus olhos ainda viram e essa mulher oh felicidade oh ventura
4367_3648_000122	alguns dias depois havia em casa do viegas um vaivém de pretores padres testemunhas escrivães tabeliães sacristães etc mas todo esse movimento longe de fazer com que o enfermo piorasse ajudou o a voltar à vida
4367_3648_000123	o artigo não está mau tem até estilo preciso responder eu no teu caso não respondia assim não penso preciso responder amanhã mesmo no próprio jornal ao comércio
4367_3648_000124	quando quiser amanhã amanhã seja sabe onde é sei mas só poderei lá ir depois das dez horas da noite quando a rua estiver completamente deserta
4367_3648_000125	passaram-se alguns dias e cada vez mais crescia aquele amor singular quando uma tarde oh que ventura oh que felicidade uma tarde passeando no catete o norberto vê num bonde das laranjeiras a dama da exposição
4367_3648_000126	depois de um passeio â burra meteu um envelope na mão de romualdo dizendo-lhe aparece-me daqui a dias vou procurar o emprego que desejas a época é difícil mas há de se arranjar
4367_3648_000127	simples cópia junte se a isto a circunstância de faltar pelo menos uma vez por semana à repartição nos dias em que metido no carro suando por todos os poros
4367_3648_000128	calou-se muito caladinho e deixou que a notícia da sua morte circulasse livremente como a dos demais passageiros do rio apa escusado é dizer que mudou de nome
4367_3648_000129	aqui fica esta poção para ser tomada de três em três horas ah seu doutor nós aqui não podemos contar as horas porque não temos relógio regulem se pelo sol o sol é um excelente relógio quando não chove e o tempo está seguro
4367_3648_000130	daí por diante foi um martírio o desditoso namorado começou a emagrecer muito admirado de que lhe causassem tais efeitos um simples olhar e um simples sorriso
4367_3648_000131	resolveu um dia ir ao rio de janeiro a passeio convencido de que ninguém mais se lembrava dele nem o reconheceria pois deixara crescer a barba engordara extraordinariamente e tinha um tipo muito diverso do de outrora
4367_3648_000132	o pobre fulgêncio não conseguiu articular um monossílabo as maxilas batiam uma na outra matá-lo bater-lhe seria uma ingratidão o sr prestou-me um relevante serviço livrou-me de bárbara
4367_3648_000133	o romualdo saiu e ao dobrar a primeira esquina abriu sofregamente o envelope havia dentro uma nota de cem mil-réis exultou parecia-lhe ter tirado a sorte grande
4367_3648_000134	que diabo vieram eles fazer ao rio de janeiro perguntou o flores nada apenas passear estão de passagem para a europa e aí está por que o flores entrou em casa oprimido por um sentimento que não sabia definir
4367_3648_000135	nesta situação extrema o viegas chamou para junto do seu leito o major erigido e disse-lhe meu velho eu vou morrer deixa-te de asneiras
4367_3648_000136	quando depois da primeira entrevista na casa dele bárbara ela chamava-se bárbara lhe confessou que era casada com um sujeito chamado mendes o pobre rapaz que a supunha solteira ou pelo menos viúva ficou horrorizado de si mesmo
4367_3648_000137	depois abriu o saco de viagem que levava à garupa do animal tirou alguns vidros de cujo conteúdo derramou algumas gotas num copo d'água e disse doutoralmente
4367_3648_000138	o major erigido sofreu com isto um grande desgasto agravado em seguida pela súbita enfermidade do viegas o seu melhor amigo o seu oráculo que caiu de cama e em menos de uma semana ficou às portas da morte
4367_3648_000139	ela vinha muito irritada logo que se sentou voltou-se com mau modo para vespasiano e disse-lhe eu logo vi que você me dizia que não
4367_3648_000140	quando conheceres a questão que vai ser o assunto desse artigo não te recusarás a escrevê lo porque não admito que sejas mais amigo dele do que meu
4367_3648_000141	possuir um escrínio de magníficas jóias deslumbrar a rua do ouvidor freqüentar bailes e espetáculos tornar-se a rainha da moda não se podia conformar com aquela vida de privação e trabalho
4367_3648_000142	deixá-lo eu morri deveras e nada lucraria em ressuscitar mesmo para ele que era o meu único amigo bem inspirado andou o morto em não se dar a conhecer porque alguns dias depois achando-se num bondinho da praça onze
4367_3648_000143	o pobre namorado jamais se animaria a fazer o menor gesto suspeito resolveu pois esperar que alguma circunstância fortuita o favorecesse ou por outra que o diabo as armasse
4367_3648_000144	que ias tu fazer meu filho matar-te sim mas primeiro matá la ia também e não te lembraste de mim não te lembraste de tua mãe perdoe
4367_3648_000145	mas ritinha era já uma senhora e flores ainda um fedelho como o desenvolvimento fisiológico da mulher é mais precoce que o do homem raro é o moço que ao desabrochar da vida não teve amores malogrados
4367_3648_000146	bem sabes gaguejou o romualdo que sou amigo do caldas não me fica bem não te fica bem por quê ele com certeza não é mais teu amigo que eu depois não é intenção minha injuriá lo quero apenas dar-lhe o troco
4367_3648_000147	que apesar de ter uns dez anos menos que ele era o seu consultor o seu conselheiro o oráculo reservado para as grandes emergências da vida deixe-a opinou o viegas se você a contraria aquilo fica de pedra e cal
4367_3648_000148	para isso fazia insinuações vagas mas pérfidas e depois em conversa ora com um ora com outro era o primeiro a aconselhar a retaliação e o esforço
4367_3648_000149	tenho poucos dias poucas horas de vida conheço o meu estado no momento de deixar este mundo de quem mais me posso lembrar senão de ti e de tua filha bem sabes que não tenho ninguém
4367_3648_000150	daí por diante o fulgêncio nunca mais teve receio de estar na rua mas em pouco tempo se convenceu de que não podia estar em casa porque bárbara era definitivamente insuportável o mendes foi o mais feliz dos três
4367_3648_000151	que é isto alegra-te meu marido que é muito abelhudo encontrou debaixo do meu travesseiro a tua última carta e expulsou me de casa hein
4367_3648_000152	o chagas sentiu faltar-lhe o chão debaixo dos pés entretanto conseguiu aproximar-se do aparelho e dizer engasgado pela comoção alô
4367_3648_000153	entretanto vejam como o diabo as arma um dia foi morar mesmo defronte da casa onde ele morava na rua frei caneca uma linda mulher que lhe deu volta ao miolo
4367_3648_000154	cansado de oferecer em pura perda os seus serviços literários a quanto jornal havia então no rio de janeiro o romualdo lembrou-se um dia de procurar ocupação no comércio abandonando para sempre as suas veleidades de escritor público os seus desejos de consideração e renome
4367_3648_000155	foi o contrário o amigo recebeu-o de braços abertos dizendo-lhe obrigado por teres vindo estava com medo de que o pequeno não te encontrasse vem cá e levou-o para um compartimento reservado
4367_3648_000156	não havia rapaz de trinta anos mais tímido nem mais pacato vivendo só na sua casinha de solteiro independente e feliz
4367_3648_000157	desculpa caldas bem sabes que o saraiva é como tu meu amigo como tu foi meu companheiro de colégio
4367_3648_000158	ela desceu a avenida dos pavilhões encaminhou-se para o portão e saiu como quem ia tomar o bonde ele seguiu-a mas estava tanto povo a sair que a perdeu de vista
4367_3648_000159	demais o namoro estragou o funcionário como estivesse profundamente impressionado por clorinda e não pensasse noutra coisa que não fosse ela e só ela
4367_3648_000160	meu instinto de mãe o romualdo tinha perdido havia já dois ou três meses o seu lugar de redator numa folha diária
4367_3648_000161	o caldas cumpriu a sua promessa o romualdo pouco depois entrou para o comércio onde ainda hoje se acha completamente esquecido do tempo que perdeu no jornalismo
4367_3648_000162	havia meses em que ganhava para cima de três contos de réis já tinha posto alguma coisa de parte e contava mais dia menos dia estabelecer-se definitivamente
4367_3648_000163	e não era meu amigo sim porque em geral são os amigos que têm a especialidade desses obséquios o fulgêncio continuava a tremer não esteja assim nervoso
4367_3648_000164	ele fizera com muita diplomacia amorosa e muita dignidade conjugal a conquista da sua mulher e ela foi sempre o modelo das esposas ao regressar do velho mundo o viegas pediu ao major brígido notícias do teobaldo nogueira
4367_3648_000165	descomunal mostrou lha um comprovinciano e amigo não querias ver a ritinha olha ali a tens onde naquele camarote quê aquela velha gorda é a ritinha
4367_3648_000166	provavelmente foi de carro pensou o norberto que logo se pôs a caminho de casa deitou-se mas não pôde conciliar o sono a imagem daquela mulher não lhe saía da mente
4367_3648_000167	o flores apagou a vela adormeceu e sonhou com ambas as ritinhas a do passado e a do presente dali por diante todas as vezes que encontrava esta última dizia consigo olhem se eu a tivesse matado
4367_3648_000168	entretanto almoçou com apetite à sobremesa entrou na sala de jantar um menino que lhe trazia uma carta em cujo sobrescrito se lia a palavra urgente
4367_3648_000169	gilberta protestou energicamente quando o pai lhe comunicou a proposta do viegas e disse logo que não se prestava a esta comédia fúnebre mas o teobaldo nogueira pelo contrário instou com ela para que aceitasse e defendeu calorosamente a piedosa idéia do tuberculoso
4367_3648_000170	como está velho pensou paulino eu decerto não o reconheceria se o supusesse tão morto como ele me supõe a mim
4367_3648_000171	mas a mulher interveio com ar magoado sim ele não tem mais nada mas o pobre galo morreu morreu por quê
4367_3648_000172	essa mulher sorriu-lhe meigamente e com um doce olhar convidou-o a acompanhá-la o norberto não esperou repetição do convite acompanhou-a
4367_3648_000173	ainda mastigou umas escusas mas o outro insistiu por amor de deus não te recuses a este obséquio tão natural num homem que vive da pena tu estás desempregado precisas ganhar alguma coisa
