2961_4572_000000	que me fale
2961_4572_000039	ouve estas preces e me cumpre o voto a mim que bebo do absinto a taça feliz serás se como eu sofreres dar-te-ei o céu em recompensa ao pranto
2961_4572_000040	mas se ela a linda filha do meu sonho a pálida mulher das minhas fantasias dos seus lábios um riso um só me der se a doce virgem pensativa e bela a pudica vestal que eu criei numa noite de delírio ao som da
2961_4572_000041	seu rosto é formoso seu talhe elegante seus lábios de rosa a fala é de mel as tranças compridas qual livre bacante o pé de criança cintura de anel
2961_4572_000042	que importa ao viajor que a sede abrasa que quer banhar se nessas águas claras ser aqui ou além a veia corre a fonte não se estanca e as verdes margens não se crestam nunca na calma dos verões
2961_4572_000043	o homem de metal embevecido em sonhos de milhões por junto à pedra sem responder passou o pobre recolheu a mão vazia o anjo tutelar velou seu rosto
2961_4572_000044	sou triste como o pai que as belas filhas viu lânguidas morrer e já não pousam no meu rosto pálido os risos do prazer
2961_4572_000045	lupanar ergue-se a taça do festim da orgia gasta-se a vida em noites de luxúria no leito dos bordéis e o veneno se sorve a longos tragos nos seios brancos e nos lábios frios das
2961_4572_000046	horas há em que a voz quase blasfema e o suicídio nos acena ao longe nas longas saturnais definha se a existência a pouco e pouco e ao lábio descorado o riso franco qual dantes já não vem
2961_4572_000047	ai se abrasado crepitasse o cedro cedendo ao raio que a tormenta envia diz que seria da plantinha humilde que à sombra dele tão feliz crescia
2961_4572_000048	mágoas maiores do que a dor dum dia do que a morte bebida em taça morna de lábios de mulher doces falas de amor que o vento espalha juras sentidas de constância eterna quebradas ao nascer
2961_4572_000049	eu era sombrio e triste contente minhalma é eu duvidava sorriste já no amar tenho fé mangue a fronte que ardia em brasas a seus delírios pôs fim sentindo o roçar das asas o sopro dum querubim
2961_4572_000050	do mar os gemidos do prado os perfumes de amor me mataram de amor suspirei agora eu vos juro palavra não minto ouvi a formosa também suspirar
2961_4572_000051	bendito sejas querubim de amores branca açucena que o paul brotou teu doce pranto me acalenta as dores da úlcera funda que ninguém curou
2961_4572_000052	ou quer na primavera ou quer no inverno no doce anseio do bulir das ondas palpitam corações não a dor sem cura a dor que mata é moço ainda aperceber na mente a dúvida a sorrir
2961_4572_000053	inda era mais bela rendida ao cansaço morrendo de amores em tal languidez que noite e que festa e que lânguido rosto banhado ao reflexo do branco luar a neve do
2961_4572_000054	ardor e pudesse aspirando os seus perfumes viver do seu amor pra ela então seria a minha vida a glória os sonhos meus e dissera chorando arrependido bendito seja deus
2961_4572_000055	orvalho ai se eu te visse no calor da sesta a mão tremente no calor das tuas amarrotado o teu vestido branco soltos cabelos nas espáduas nuas
2961_4572_000056	enganar aqui faço ponto segredos de amores não quero não posso não devo contar o e como
2961_4572_000057	o véu da noite me atormenta em dores a luz da aurora me intumesce os seios e ao vento fresco do cair das tardes eu me estremeço de cruéis receios
2961_4572_000058	bendito sejas querubim de amores branca açucena que o paul brotou teu pranto é gota que mitiga as dores da úlcera funda que ninguém curou
2961_4572_000059	e louca a turba que passou sorrindo julgava um hino o que eu chamava um ai alguém murmura como o canto é lindo sorri se um pouco e caminhando vai
2961_4572_000060	as falas sentidas que os olhos falavam não posso não quero não devo contar depois indolente firmou se em meu braço fugimos das salas do mundo talvez
2961_4572_000061	meus tristes cantos comecei chorando santas endechas doloridos ais e a turba andava só de vez em quando lânguido rosto se volvia atrás
2961_4572_000062	a minha vida era areal despido de relva e flor e na estação louçã tu foste o lírio que nasceu querido entre a neblina de gentil manhã
2961_4572_000063	palmas da glória meus lauréis do estudo fogo do gênio aspiração dos anos mas o teu filho já se não rebela por tal castigo pelas mágoas duras
2961_4572_000064	como o dia a nossa vida na aurora é toda venturas de tarde doce tristeza de noite sombras escuras
2961_4572_000065	é viver tendo nalma o desalento sem um queixume a disfarçar as dores carregando a cruz oh ninguém sabe como a dor é funda quanto pranto sengole e quanta angústia a alma nos desfaz
2961_4572_000066	talvez talvez que eu encontrasse as alegrias dos tempos que lá vão e afogasse na luz da nova aurora a dor do coração talvez que nos meus lábios desmaiados brilhasse o seu sorrir e de novo meu deus tivesse crença na glória e no porvir
2961_4572_000067	ontem no baile com ela valsando senti as delícias dos anjos do céu na dança ligeira qual silfo voando caiu-lhe do rosto seu cândido véu que noite e que baile seu hálito virgem queimava me as faces no louco valsar
2961_4572_000068	inda a boca que queimei sedento nas esponjas de fel e agora sinto no bulhar da mente a torre de babel
2961_4572_000069	é ver sem dó a vocação torcida por quem devera dar-lhe alento e vida e respeitá la até é viver flor nascida nas montanhas para aclimar se apertada numa estufa à falta de ar e luz
2961_4572_000070	no fogo vivo eu me abrasara inteiro ébrio e sedento na fugaz vertigem vil machucara com meu dedo impuro as pobres flores da grinalda virgem
2961_4572_000071	contigo dizes suspirando amores meu deus que gelo que frieza aquela como te enganas meu amor é chama que se alimenta no voraz segredo e se te fujo é que te adoro louco
2961_4572_000072	nas noites destio o céu tem estrelas o mar tem amor e a voz maviosa do bom gondoleiro repete cantando viver é amar se os peitos respondem à voz do barqueiro não quero não posso não devo contar
2961_4572_000073	é a perda dura dum futuro inteiro e o desfolhar sentido das sentis coroas dos sonhos do porvir é ver que nos arrancam uma a uma das asas do talento as penas de ouro que voam para deus
2961_4572_000074	a flor dos meus sonhos é moça e bonita qual flor entreaberta do dia ao raiar mas onde ela mora que casa ela habita não quero não posso não devo contar
2961_4572_000075	às vezes no silêncio da minhalma da noite na mudez eu crio na cabeça mil fantasmas que aniquilo outra vez
2961_4572_000076	vozes de flauta longínqua que as nossas mágoas aviva soluço da patativa queixume do mar que rola cantiga em noite de lua cantada ao som da viola
2961_4572_000077	depois desperta no febril delírio olhos pisados como um vão lamento tu perguntaras qué da minha croa eu te diria desfolhou a o vento
2961_4572_000078	o viço do verdor dos anos dorme se moço e despertamos velho sem fogo para amar e a fronte jovem que o pesar sombreia vai reclinada sobre um colo impuro dormir no lupanar
2961_4572_000079	a neve do colo e as ondas dos seios não quero não posso não devo contar a noite é sublime tem longos queixumes mistérios profundos que eu mesmo não sei
2961_4572_000080	ninho velai ao menos pelo pobre anjinho pagai lhe em gozo o que me dais em dores maio jus
2961_4572_000081	saudades do pegureiro que chora o seu lar amado calado e só recostado na pedra dalgum caminho canção de santa doçura da mãe que embala o filhinho
2961_4572_000082	diz que seria da pureza danjo das vestes alvas do candor das asas tu te queimaras a pisar descalça criança louca sobre um chão de brasas
2961_4572_000083	flauta e o canto do
2961_4572_000084	eu era a flor desfolhada dos vendavais ao correr tu foste a gota dourada e o lírio pôde viver poeta dormia pálido no meu sepulcro bem só tu disseste ergue-te lázaro e o morto surgiu do pó
2961_4572_000085	eu sofro oh anjo na cruel vigília o pensamento inda redobra a dor e passa linda do meu sonho a filha soltas as tranças a morrer de amor e louco a sigo por desertos mares por doces veigas por um céu de azul
2961_4572_000086	esquecimento mortalha para as dores aqui na terra é a embriaguez do gozo a febre do prazer a dor se afoga no fervor dos vinhos e no regaço das argôs modernas é doce então morrer
2961_4572_000087	os doces suspiros que os ecos ouviram não quero não posso não devo contar então nesse instante nas águas do rio passava uma barca e o bom remador cantava na flauta
2961_4572_000088	eu olho e vejo a veiga é de esmeralda o céu é todo azul tudo canta e sorri só na minhalma o lodo dum paul
2961_4572_000089	eu devera folgar nesta natura de flores e de luz e mancebo voltar me pro futuro estrela que seduz agora em vez dos hinos desperança dos cantos juvenis
2961_4572_000090	duras minhalma ofreço às provações futuras venha o martírio mas perdão pra ela a doce virgem se assemelha às flores o vento a quebra no seu verde ninho
2961_4572_000091	é ver que nos apagam dalma as crenças e que profanam o que santo temos coo riso dos ateus é assistir ao desabar tremendo num mesmo dia dilusões douradas tão cândidas de fé
2961_4572_000092	em ondas mortas meu batel dormia chorava o pano a viração sutil mas veio o vento no correr do dia e leve o bote resvalou no anil
2961_4572_000093	murmurar baixinho ao meu ouvido as falas da paixão se cair desmaiada nos meus braços morrendo em languidez de certo remoçado alegre e louco sentira me talvez
2961_4572_000094	mas eu que não tenho risos nem alegrias tão pouco nem sinto esse fogo louco que a mocidade consome nas brancas folhas do livro só posso deixar meu nome
2961_4572_000095	a labareda que se enrosca ao tronco torrara a planta qual queimara o galho e a pobre nunca reviver pudera chovesse embora paternal orvalho
2961_4572_000096	trememos de medo a boca emudece mas sentem-se os pulos do meu coração seu seio nevado de amor se intumesce e os lábios se tocam no ardor da paixão depois mas já vejo que vós meus senhores com fina malícia quereis
2961_4572_000097	talvez minhalma ressurgisse bela aos raios desse sol e nas cordas da lira seus gorjeios trinasse um rouxinol talvez então que eu me pegasse à vida com ânsia e com
2961_4572_000098	tens amor eu medo tenho medo de mim de ti de tudo da luz da sombra do silêncio ou vozes das folhas secas do chorar das fontes das horas longas a correr velozes
2961_4572_000099	e teus olhares me derramam nalma doces consolos e orações de fé não serei triste se te ouvir a fala tremo e palpito como treme o mar e a nota doce que teu lábio exala virá sentida ao coração parar
2961_4572_000100	e olvido de passados beijos são dores essas que o tempo cicatriza dos anos no volver se a donzela infiel nos rasga as folhas do livro dalma magoado e triste suspira o coração
2961_4572_000101	mas depois outros olhos nos cativam e loucos vamos em delírios novos arder noutra paixão amor é ó rio claro das delícias que atravessa o deserto a veiga o prado e o mundo todo o tem
2961_4572_000102	pobre poeta na manhã da vida nem flores tenho nem prazer também roto mendigo que não tem guarida tímido espreito quando a noite vem
2961_4572_000103	ao lado o seu bordão e o sol no raio extremo lhe dourava sobre a fronte senil a dupla croa de pobre e de ancião
2961_4572_000104	se ela vier enternecida e meiga sentar-se junto a mim se eu ouvir sua voz mais doce e terna que um doce bandolim se o seu lábio afagar a minha fronte tão fervido vulcão
2961_4572_000105	grito de angústia do pobre que sobre as águas se afoga cadáver que bóia e voga longe da praia querida grito de quem nagonia já morto se apega à vida
2961_4572_000106	deus te abençoe querubim formoso branca açucena que o paul brotou teu pranto é gota de celeste gozo na úlcera funda que ninguém curou
2961_4572_000107	depois o mundo diz que libertino a folgar no delírio dos alcouces s asas empanou como se ele algoz das esperanças as crenças infantis e a vida dalma não fosse quem matou
